[07:00:38] run fixed_r4: {"W": 4, "max_branches": 8, "max_depth": 6, "K1": 10, "K2": 12, "M": 4, "beta1": 0.005, "beta2": 0.01, "baseline_score": -2.7749999999999915, "seed_program": "funsearch_or", "mode": "fixed", "model": "qwen2.5-coder:7b", "policy_model": "qwen2.5-coder:7b", "rounds": 4}
[07:00:38] baseline scores: {'first_fit': -2.7249999999999943, 'best_fit': -2.174999999999997, 'funsearch_or': -2.7749999999999915}
[07:00:38] === round 1/4: online rollout with policy_round_01.py ===
[07:00:38]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[07:18:38]     node 12 (branch 3, depth 3) -2.175 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation and a
[07:18:38]   round 3: batch=[9, 10, 11, 12] (legal=[0, 9, 10, 11, 12])
[07:20:59]     node 13 (branch 0, depth 4) -132.225 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:20:59]     node 14 (branch 1, depth 4) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:20:59]     node 15 (branch 2, depth 4) -2.275 | Introduce a penalty for bins with leftover space smaller than the smallest item and adjust
[07:20:59]     node 16 (branch 3, depth 4) -2.150 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation and a
[07:20:59]   round 4: batch=[13, 14, 15, 16] (legal=[0, 13, 14, 15, 16])
[07:23:18]     node 17 (branch 0, depth 5) -132.225 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:23:18]     node 18 (branch 1, depth 5) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:23:18]     node 19 (branch 2, depth 5) -2.275 | Introduce a penalty for bins with leftover space smaller than the smallest item and adjust
[07:23:18]     node 20 (branch 3, depth 5) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:23:18]   round 5: batch=[17, 18, 19, 20] (legal=[0, 17, 18, 19, 20])
[07:25:45]     node 21 (branch 0, depth 6) -132.225 | Introduce a penalty for bins with leftover space smaller than the smallest item (20) and a
[07:25:45]     node 22 (branch 1, depth 6) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:25:45]     node 23 (branch 2, depth 6) -2.275 | Introduce a penalty for bins with leftover space smaller than the smallest item and adjust
[07:25:45]     node 24 (branch 3, depth 6) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:25:45]   round 6: policy chose to stop
[07:25:45] round 2 done: 24 calls in 808.8s, round best -2.1499999999999915, best so far -2.1499999999999915 (held-out -4.25), cumulative 48
[07:25:45] === round 3/4: online rollout with policy_round_03.py ===
[07:25:45]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[07:27:44]     node 1 (branch 0, depth 1) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:27:44]     node 2 (branch 1, depth 1) -2.175 | Introduce a preference for already-used bins over fresh ones, and penalize bins with lefto
[07:27:44]     node 3 (branch 2, depth 1) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item,
[07:27:44]     node 4 (branch 3, depth 1) -2.175 | Introduce a preference for already-used bins over fresh ones and a penalty for bins with l
[07:27:44]   round 1: batch=[1, 2, 3, 4] (legal=[0, 1, 2, 3, 4])
[07:29:58]     node 5 (branch 0, depth 2) -2.400 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:29:58]     node 6 (branch 1, depth 2) -2.175 | Introduce a preference for already-used bins over fresh ones, and penalize bins with lefto
[07:29:58]     node 7 (branch 2, depth 2) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item,
[07:29:58]     node 8 (branch 3, depth 2) -2.175 | Introduce a preference for already-used bins over fresh ones and a penalty for bins with l
[07:29:58]   round 2: batch=[5, 6, 7, 8] (legal=[0, 5, 6, 7, 8])
[07:32:15]     node 9 (branch 0, depth 3) -2.400 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:32:15]     node 10 (branch 1, depth 3) -2.175 | Introduce a preference for already-used bins over fresh ones, and penalize bins with lefto
[07:32:15]     node 11 (branch 2, depth 3) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item,
[07:32:15]     node 12 (branch 3, depth 3) -2.175 | Introduce a preference for already-used bins over fresh ones and a penalty for bins with l
[07:32:15]   round 3: batch=[9, 10, 11, 12] (legal=[0, 9, 10, 11, 12])
[07:34:31]     node 13 (branch 0, depth 4) -2.400 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:34:31]     node 14 (branch 1, depth 4) -2.175 | Introduce a preference for already-used bins over fresh ones, and penalize bins with lefto
[07:34:31]     node 15 (branch 2, depth 4) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item,
[07:34:31]     node 16 (branch 3, depth 4) -2.175 | Introduce a preference for already-used bins over fresh ones and a penalty for bins with l
[07:34:31]   round 4: batch=[13, 14, 15, 16] (legal=[0, 13, 14, 15, 16])
[07:36:47]     node 17 (branch 0, depth 5) -2.400 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:36:47]     node 18 (branch 1, depth 5) -2.175 | Introduce a preference for already-used bins over fresh ones, and penalize bins with lefto
[07:36:47]     node 19 (branch 2, depth 5) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item,
[07:36:47]     node 20 (branch 3, depth 5) -2.175 | Introduce a preference for already-used bins over fresh ones and a penalty for bins with l
[07:36:47]   round 5: batch=[17, 18, 19, 20] (legal=[0, 17, 18, 19, 20])
[07:39:09]     node 21 (branch 0, depth 6) -2.475 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:39:09]     node 22 (branch 1, depth 6) -2.175 | Introduce a preference for already-used bins over fresh ones, and penalize bins with lefto
[07:39:09]     node 23 (branch 2, depth 6) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item,
[07:39:09]     node 24 (branch 3, depth 6) -2.175 | Introduce a preference for already-used bins over fresh ones and a penalty for bins with l
[07:39:09]   round 6: policy chose to stop
[07:39:09] round 3 done: 24 calls in 804.2s, round best -2.1499999999999915, best so far -2.1499999999999915 (held-out -4.25), cumulative 72
[07:39:09] === round 4/4: online rollout with policy_round_04.py ===
[07:39:09]   round 0: batch=[0, 0, 0, 0] (legal=[0])
[07:41:04]     node 1 (branch 0, depth 1) -2.175 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation,
[07:41:04]     node 2 (branch 1, depth 1) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:41:04]     node 3 (branch 2, depth 1) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item and a pref
[07:41:04]     node 4 (branch 3, depth 1) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item and add a 
[07:41:04]   round 1: batch=[1, 2, 3, 4] (legal=[0, 1, 2, 3, 4])
[07:43:14]     node 5 (branch 0, depth 2) -2.175 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation,
[07:43:14]     node 6 (branch 1, depth 2) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:43:14]     node 7 (branch 2, depth 2) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item and a pref
[07:43:14]     node 8 (branch 3, depth 2) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item and add a 
[07:43:14]   round 2: batch=[5, 6, 7, 8] (legal=[0, 5, 6, 7, 8])
[07:45:30]     node 9 (branch 0, depth 3) -2.175 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation,
[07:45:30]     node 10 (branch 1, depth 3) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:45:30]     node 11 (branch 2, depth 3) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item and a pref
[07:45:30]     node 12 (branch 3, depth 3) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item and add a 
[07:45:30]   round 3: batch=[9, 10, 11, 12] (legal=[0, 9, 10, 11, 12])
[07:47:46]     node 13 (branch 0, depth 4) -2.175 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation,
[07:47:46]     node 14 (branch 1, depth 4) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:47:46]     node 15 (branch 2, depth 4) -2.150 | Introduce a penalty for bins with leftover space smaller than the smallest item and a pref
[07:47:46]     node 16 (branch 3, depth 4) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item and add a 
[07:47:46]   round 4: batch=[13, 14, 15, 16] (legal=[0, 13, 14, 15, 16])
[07:50:08]     node 17 (branch 0, depth 5) -2.175 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation,
[07:50:08]     node 18 (branch 1, depth 5) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:50:08]     node 19 (branch 2, depth 5) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item and a pref
[07:50:08]     node 20 (branch 3, depth 5) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item and add a 
[07:50:08]   round 5: batch=[17, 18, 19, 20] (legal=[0, 17, 18, 19, 20])
[07:52:28]     node 21 (branch 0, depth 6) -2.175 | Introduce a preference for already-used bins over fresh ones to reduce fragmentation,
[07:52:28]     node 22 (branch 1, depth 6) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item, and a pre
[07:52:28]     node 23 (branch 2, depth 6) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item and a pref
[07:52:28]     node 24 (branch 3, depth 6) -2.175 | Introduce a penalty for bins with leftover space smaller than the smallest item and add a 
[07:52:29]   round 6: policy chose to stop
[07:52:29] round 4 done: 24 calls in 799.4s, round best -2.1499999999999915, best so far -2.1499999999999915 (held-out -4.25), cumulative 96
[07:52:29] finished. total discovery-agent calls 96; llm stats {'calls': 96, 'prompt_tokens': 199326, 'completion_tokens': 23498, 'seconds': 7538.3}
